seller_user_id,item_id,price
ZST93,LUWLF,940.83
KVJNB,9BRO0,1046.14
FZ6BO,H4OPW,1878.84
4I4WY,3HZ88,1813.90
EDOMX,H7CXM,614.48
SZXQH,BY7WN,261.38
VPIG7,FVVDE,302.58
C8HL5,8BUS8,1771.29
O8YYV,AEW7U,1814.90
X9W2Z,K7KT7,288.14
G6UPG,6G928,853.97
U98HN,X9CLC,942.42
5MYGN,HIBFV,101.55
JZ1WL,8B42J,441.33
Z0LJU,YJRT1,1328.75
0HC1E,S96QH,1767.95
86J10,SGBC8,475.86
WSHUH,6BULB,128.70
3FLK5,YBS45,1627.59
AU687,8XK4U,559.30
3DEPB,8VEXQ,1160.42
6GSGP,RK5M7,543.11
87CKX,UOZZ0,147.26
J4F6P,712OL,712.80
P9Q6Y,R5P40,231.20
0HGJC,5WT6O,737.71
7CIPO,92TFM,1844.76
P35EW,I6L3Z,661.56
77E29,9N9TR,1344.58
L4VJ1,79VP7,934.30
NKKLD,TT0W1,380.98
D7CK2,3RAPJ,295.92
CXDQI,S90EO,1448.32
G558B,MBP8H,603.70
5JJX3,H6QAO,722.28
Q24R1,25CUM,468.59
A5WQ0,NX1KF,1731.45
K3UHS,94OTL,1464.61
CHM29,S0309,1208.49
UEVYS,8ZFK9,375.60
VZNU6,9V1V6,1261.92
1E2BT,5N6BX,1666.20
JUDOH,0G9UO,1067.84
TJ6FX,FD7D5,465.43
3FKG7,VU3F6,437.10
UOQ2K,L8S3F,1242.14
VJL5E,HCGL4,868.58
5MYGN,RM29I,203.33
FWB4W,WOB08,1029.79
F98VS,W6HFD,384.51
CZ859,BNSWP,581.36
HQSNA,CMS7M,1315.58
NBQEK,6LAY9,108.72
BK9EY,6XMAN,1550.50
QR19G,QLKFC,1820.00
K5CLT,43LX4,1145.66
6NS86,3G670,1725.62
QLECR,V4AWC,230.14
NL2WY,DZ0XF,1199.28
519G2,0DBO6,877.40
PVB4C,M9CV3,300.46
L4VJ1,Y4RI7,383.41
6KVU0,TZN76,776.30
61A69,GS3YH,1817.54
7WHJR,POJY0,792.80
5MYGN,PUJOY,1638.42
KGD5Z,6FIET,370.50
4CXZQ,32MX6,116.18
ARWEB,HP259,1332.58
WJRLZ,I0H46,802.45
IBCNI,RM3Z3,1640.12
1VPD1,PYZ4Y,916.93
UADIT,VHQ9W,159.55
4Z5VC,BRASZ,624.46
MRY5A,F90SW,6.80
69SJG,1LDM5,1502.57
AU687,0WHMO,1616.41
PQEAZ,OHA2B,1429.50
J5PAC,019DI,576.55
YRL14,HM9FM,865.80
FCQGQ,DS4GZ,1671.46
G6G4D,PR4UC,1256.65
1E2BT,A26N8,1500.36
EBQH2,XW1K1,1958.15
2SZAM,CTGR7,1922.87
85TQL,58O0H,1894.26
DRBJ8,T56ZE,1876.28
8AOIB,34H2Q,1535.38
ZST93,6NXK0,1088.36
V20LN,W1G69,101.83
3S3MN,QPNHF,1589.10
KR138,VU638,1816.21
